         0.00000            -31.4              3.8 
        21.90039              0.8              8.7 
        55.91992             39.5              4.7 
        96.82422             78.4              4.0 
       244.22168            197.0              4.8 
       263.22852            225.1              5.2 
       305.13672            292.4              5.1 
       326.09473             79.7              4.7 
       326.98926             64.8              4.2 
       327.15723             49.1              4.1 
       328.01758             25.6              4.0 
       328.14160             15.7              5.2 
       328.94824            -12.9              4.1 
       329.14355            -26.4              4.4 
       329.98926            -50.5              4.1 
       330.13770            -19.1              3.9 
       346.87500           -287.2              3.9 
       347.12207           -303.7              4.0 
       358.89844           -291.1              4.4 
       359.07227           -294.9              3.8 
       360.00879           -281.2              4.0 
       360.94922           -276.5              3.8 
       361.07324           -291.6              4.0 
       361.92578           -272.8              3.6 
       362.05664           -280.4              4.3 
       362.88770           -263.7              4.0 
       363.08496           -265.5              3.9 
       393.90527           -201.0              3.9 
       394.90332           -224.5              4.1 
       395.91211           -192.6              3.9 
       396.88477           -193.8              3.6 
       397.86719           -195.6              3.0 
       412.87402           -173.3              3.6 
       413.85352           -172.0              3.7 
       414.85742           -172.8              3.8 
       420.86426           -171.8              4.4 
       421.87891           -176.7              3.7 
       422.84863           -172.6              3.5 
       423.86230           -177.7              3.6 
       424.84570           -165.6              3.4 
       438.85254           -127.5              3.4 
       439.85449           -147.6              3.9 
       462.87305            -80.6              3.3 
       477.78516            -92.8              4.4 
       478.77832            -89.5              4.5 
       479.77051            -94.3              4.4 
       480.77051            -83.2              4.0 
       488.75488            -77.3              4.7 
        62.40391             17.0              4.9 
        99.31895             60.1              5.0 
       101.37559             45.3              5.2 
       111.31309             91.0              4.9 
       140.26230             93.8              4.3 
       165.26816             80.3              4.8 
       166.15000             92.7              5.0 
       167.22715             83.3              4.6 
       188.17832            119.1              4.4 
       198.23984            140.7              4.6 
       216.05723            141.9              4.3 
       227.11875            160.2              4.3 
       228.09336            157.7              4.6 
       229.08555            166.9              4.3 
       241.06309            186.2              4.5 
       243.09727            199.2              4.5 
       256.07578            206.8              4.5 
       258.03184            204.1              4.6 
       268.05527            219.6              4.3 
       270.01621            202.2              4.5 
       275.02109            234.5              4.6 
       287.01523            267.1              4.3 
       298.01035            288.2              4.8 
       298.96641            284.5              4.9 
       300.01719            292.3              3.7 
       308.97715            310.9              5.0 
       309.97324            308.3              4.2 
       311.00645            297.9              4.3 
       320.95957            209.7              4.9 
       321.98496            194.3              4.2 
       322.93223            175.0              4.6 
       331.93125           -108.6              4.0 
       332.95664           -145.4              5.0 
       333.92441           -148.8              4.4 
       334.92637           -194.8              4.7 
       335.92539           -189.4              4.7 
       336.92246           -206.8              4.9 
       345.90977           -301.8              5.1 
       471.33848           -115.1              5.0 
       472.33164           -122.0              4.8 
        10.38203            -65.3              4.1 
        58.30977            -51.2              5.3 
        94.21895             -7.8              4.4 
        96.24922              9.7              4.1 
       130.18770             22.8              5.1 
       154.15156             75.5              4.0 
       156.16035             56.6              4.2 
       172.12812             82.4              4.5 
       318.52559            212.1              5.5 
       385.37617           -278.7              5.0 
       462.29121           -164.2              3.4 
       465.17891           -159.8              3.6 
       501.19453           -117.4              3.0 
        14.27422           -116.4              3.5 
        16.27617           -100.3              3.5 
        47.21953            -67.6              3.8 
        49.21562            -51.9              4.0 
       136.70750             -1.0              3.8 
       139.70224              4.4              4.3 
       182.64760            102.1              8.0 
       208.59331            100.9              3.8 
       224.53633            117.8              3.9 
       225.61312            116.4              4.0 
       226.59006            111.8              4.5 
       274.44712            195.5              3.8 
       328.34374            -40.3              4.1 
       329.40095            -74.0              4.0 
       331.37536           -115.1              3.9 
       332.39968           -171.7              4.4 
       333.38150           -210.4              5.4 
       334.37860           -214.9              5.7 
